?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/CHEBI_35281>	"Neutral molecules having charge-separated forms with an onium atom which bears no hydrogen atoms and that is not adjacent to the anionic atom."	
<http://purl.obolibrary.org/obo/PHIPO_0000713>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to mupirocin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0001132>	"A pathogen host interaction phenotype where the size of the pathogen vacuoles are larger than normal during host colonization. This relates to the pathogen colonization of the body, tissues, or cells of the host organism."	
<http://purl.obolibrary.org/obo/GO_0002790>	"The controlled release of a peptide from a cell or a tissue."	
<http://purl.obolibrary.org/obo/CHEBI_24621>	"Originally referring to an endogenous compound that is formed in specialized organ or group of cells and carried to another organ or group of cells, in the same organism, upon which it has a specific regulatory function, the term is now commonly used to include non-endogenous, semi-synthetic and fully synthetic analogues of such compounds."	
<http://purl.obolibrary.org/obo/CHEBI_39216>		
<http://purl.obolibrary.org/obo/CHEBI_139588>	"A ketone containing a hydroxy group on the alpha-carbon relative to the C=O group."	"PMID:19908854 PMID:15326516 PMID:20382022 PMID:23295224"
<http://purl.obolibrary.org/obo/CHEBI_72316>	"Any toxin secreted by bacteria, viruses, fungi or protozoa enabling them to achieve colonisation of a niche in the host, inhibit or evade the host's immune response, enter and exit cells, or obtain nutrition from the host."	"PMID:22851449 Wikipedia:Virulence_factor"
<http://purl.obolibrary.org/obo/PHIPO_0000441>	"A pathogen host interaction phenotype where the pathogen reproductive process within the host is abnormal."	
<http://purl.obolibrary.org/obo/CHEBI_33704>	"An amino acid in which the amino group is located on the carbon atom at the position alpha to the carboxy group."	"KEGG:C00045 KEGG:C05167"
<http://purl.obolibrary.org/obo/CHEBI_36586>	"Any compound containing the carbonyl group, C=O. The term is commonly used in the restricted sense of aldehydes and ketones, although it actually includes carboxylic acids and derivatives."	
<http://purl.obolibrary.org/obo/PHIPO_0001136>	"A single species phenotype where the asexual reproductive developmental process whose specific outcome is the progression of structures that will be used in the process of creating new individuals, from their formation to the mature structures is abolished (it was present and is now absent) (GO:0048608)."	
<http://purl.obolibrary.org/obo/PHIPO_0000764>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to kanamycin A. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/UBERON_0000000>	"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity."	"BFO:0000003"
<http://purl.obolibrary.org/obo/CHEBI_2580>	"Any fatty acid anion containing at least one C-C unsaturated bond; formed by deprotonation of the carboxylic acid moiety."	
<http://purl.obolibrary.org/obo/CHEBI_39215>		
<http://purl.obolibrary.org/obo/GO_0060631>	"Any process that modulates the rate, frequency, or extent of meiosis I, a cell cycle process comprising the steps by which a cell progresses through the first phase of meiosis, in which cells divide and homologous chromosomes are paired and segregated from each other, producing two daughter cells."	
<http://purl.obolibrary.org/obo/PHIPO_0001256>	"A pathogen host interaction phenotype, in which the host defense-related protein usually present during infection is normal (i.e. indistinguishable from wild type)."	
<http://purl.obolibrary.org/obo/PATO_0002305>	"A quality of an object that has a value that is increased compared to normal or average."	
<http://purl.obolibrary.org/obo/CHEBI_23114>		
<http://purl.obolibrary.org/obo/PHIPO_0000216>		
<http://purl.obolibrary.org/obo/GO_1990849>	"Any process in which the vacuole is transported to, and/or maintained in, a specific location within the cell."	
<http://purl.obolibrary.org/obo/CHEBI_50325>	"A univalent organyl group obtained by cleaving the bond from C-2 to the side chain of a proteinogenic amino-acid."	
<http://purl.obolibrary.org/obo/CHEBI_38104>	"Any organic heterocyclic compound containing at least one ring oxygen atom."	"PMID:17134300"
<http://purl.obolibrary.org/obo/GO_1904776>	"Any process that modulates the frequency, rate or extent of protein localization to cell cortex."	
<http://purl.obolibrary.org/obo/CHEBI_26078>	"A phosphorus oxoacid that consists of one oxo and three hydroxy groups joined covalently to a central phosphorus atom."	"HMDB:HMDB0002142 PMID:22381614 CAS:7664-38-2 Wikipedia:Phosphoric_Acid PMID:17439666 Gmelin:2000 Reaxys:1921286 PMID:22333268 PMID:22282755 KEGG:C00009 KNApSAcK:C00007408 KEGG:D05467 PMID:11455380 PMID:17518491 PMID:22401268 Drug_Central:4478 PMID:15630224"
<http://purl.obolibrary.org/obo/GO_0044238>	"The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."	"Wikipedia:Primary_metabolite"
<http://purl.obolibrary.org/obo/PHIPO_0000030>	"A single species pathogen penetration phenotype in which pathogen penetration of a given experimental substance/membrane is absent."	
<http://purl.obolibrary.org/obo/PHIPO_0000106>	"A single species pathogen growth phenotype in which the frequency of occurrence of pathogen penetration stuctures are increased when assessed for penetration ability on a given experimental substance/membrane."	
<http://purl.obolibrary.org/obo/PHIPO_0000716>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to cefixime. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0001149>	"A single species metabolic cellular process phenotype in which the formation of reactive oxygen species (any molecules or ions formed by the incomplete one-electron reduction of oxygen) is decreased.(GO:1903409)"	
<http://purl.obolibrary.org/obo/PHIPO_0000344>		
<http://purl.obolibrary.org/obo/PHIPO_0000211>		
<http://purl.obolibrary.org/obo/PHIPO_0000597>	"A growth phenotype which describes the resistance of individuals or populations after exposure to polymyxin B1. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_25248>	"Any carboxylic ester resulting from the formal condensation of a carboxy group with methanol."	
<http://purl.obolibrary.org/obo/PHIPO_0000302>	"A single species phenotype where the dispersal of sexual spores is normal (FAO:0000017)."	
<http://purl.obolibrary.org/obo/PHIPO_0000729>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to miltefosine. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_36628>	"A naphthyridine in which the nitrogens are situated at positions 1 and 8."	"Reaxys:109347 Gmelin:27124 CAS:254-60-4"
<http://purl.obolibrary.org/obo/CHEBI_64996>	"A lipoxygenase inhibitor that interferes with the action of arachidonate 15-lipoxygenase (EC 1.13.11.33)."	"Wikipedia:ALOX15"
<http://purl.obolibrary.org/obo/CHEBI_33429>		
<http://purl.obolibrary.org/obo/CHEBI_33917>	"A hexose with a (potential) aldehyde group at one end."	
<http://purl.obolibrary.org/obo/CHEBI_62220>	"An organic cation resulting from the protonation of pyocyanin."	"PMID:9078238 MetaCyc:CPD-12847 PMID:2547716 PMID:2106495 PMID:14210570 PMID:6774217 PMID:2422042 PMID:415847 PMID:17253782 PMID:3028961 PMID:6243619 PMID:4202997 Reaxys:3908208 PMID:19869911 PMID:6782436 PMID:4977219 PMID:3150520 PMID:1500199"
<http://purl.obolibrary.org/obo/CHEBI_62488>	"A molecular messenger in which the molecule is specifically involved in transmitting information between cells. Such molecules are released from the cell sending the signal, cross over the gap between cells by diffusion, and interact with specific receptors in another cell, triggering a response in that cell by activating a series of enzyme controlled reactions which lead to changes inside the cell."	
<http://purl.obolibrary.org/obo/CHEBI_35295>		
<http://purl.obolibrary.org/obo/CHEBI_88225>	"Any beta-lactam antibiotic which causes the onset of an allergic reaction."	
<http://purl.obolibrary.org/obo/CHEBI_87113>	"Any antibiotic antifungal agent used to treat fungal infections in humans or animals."	
<http://purl.obolibrary.org/obo/PHIPO_0000709>	"A growth phenotype which describes the resistance of individuals or populations after exposure to clofazimine. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_50909>	"A role played by any chemical compound (natural or synthetic) exhibiting itself through the ability to induce damage to the kidneys."	
<http://purl.obolibrary.org/obo/CHEBI_78675>	"Any metabolite produced by all living cells."	
<http://purl.obolibrary.org/obo/CHEBI_36360>		
<http://purl.obolibrary.org/obo/PHIPO_0000572>	"A growth phenotype which describes the resistance of individuals or populations after exposure to bleomycin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0001173>	"A pathogen host interaction phenotype, in which a pathogen effects a change in the structure or processes of its host organism (GO:0044003)."	
<http://purl.obolibrary.org/obo/PHIPO_0001369>	"An individual organism growth phenotype in which the rate, or speed, of hyphae formation is increased."	
<http://purl.obolibrary.org/obo/CHEBI_76507>	"Any metabolite produced during a metabolic reaction in marine macro- and microorganisms."	
<http://purl.obolibrary.org/obo/PHIPO_0000703>	"A growth phenotype which describes the resistance of individuals or populations after exposure to aureobasidin A. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0000251>	"A single organism phenotype in which the localization of an RNA in a cell is abnormal. An RNA may be observed in a place where it is not normally found, absent from a place where it is normally found, or both."	"FYPO:0003057"
<http://purl.obolibrary.org/obo/PHIPO_0000929>	"A phenotype in which a specific cellular process is abnormal."	"FYPO:0000628"
<http://purl.obolibrary.org/obo/PHIPO_0000968>	"A single species phenotype in which the pathogen's ability to contine to grow after penetration of a given experimental substance/membrane in an in vitro assay is absent."	
<http://purl.obolibrary.org/obo/PHIPO_0000346>		
<http://purl.obolibrary.org/obo/CHEBI_36361>		"CAS:10294-56-1 Gmelin:164068"
<http://purl.obolibrary.org/obo/PHIPO_0000793>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to anidulafungin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0000577>	"A growth phenotype which describes the resistance of individuals or populations after exposure to nikkomycin Z. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_76741>	"An oxidoreductase inhibitor which interferes with the action of an oxidoreductase acting on hydrogen as donors (EC 1.14.*.*)."	
<http://purl.obolibrary.org/obo/CHEBI_24753>		
<http://purl.obolibrary.org/obo/CHEBI_21731>	"A glycosyl compound arising formally from the elimination of water from a glycosidic hydroxy group and an H atom bound to a nitrogen atom, thus creating a C-N bond."	
<http://purl.obolibrary.org/obo/CHEBI_102484>	"A sulfonamide antibacterial with an oxazole substituent. It has antibiotic activity against a wide range of gram-negative and gram-positive organisms."	"Drug_Central:2529 Patent:US2430094 PMID:1861917 KEGG:D00450 CAS:127-69-5 Gmelin:864477 DrugBank:DB00263 LINCS:LSM-3120 Wikipedia:Sulfisoxazole PMID:4960234 Beilstein:263871 PMID:7356572 KEGG:C07318"
<http://purl.obolibrary.org/obo/GO_0032774>	"The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."	
<http://purl.obolibrary.org/obo/CHEBI_26712>		
<http://purl.obolibrary.org/obo/CHEBI_79389>	"Any inorganic anion with a valency of one."	
<http://purl.obolibrary.org/obo/CHEBI_45367>		"KEGG:C07235 Wikipedia:Rifabutin CAS:72559-06-9 KEGG:D00424 DrugBank:DB00615 Drug_Central:2376 KNApSAcK:C00027872"
<http://purl.obolibrary.org/obo/CHEBI_39219>		
<http://purl.obolibrary.org/obo/CHEBI_50584>	"An aliphatic alcohol in which the aliphatic alkane chain is substituted by a hydroxy group at unspecified position."	
<http://purl.obolibrary.org/obo/PHIPO_0000706>	"A growth phenotype which describes the resistance of individuals or populations after exposure to tiamulin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/GO_0070265>	"OBSOLETE. A type of cell death that is morphologically characterized by an increasingly translucent cytoplasm, swelling of organelles, minor ultrastructural modifications of the nucleus (specifically, dilatation of the nuclear membrane and condensation of chromatin into small, irregular, circumscribed patches) and increased cell volume (oncosis), culminating in the disruption of the plasma membrane and subsequent loss of intracellular contents. Necrotic cells do not fragment into discrete corpses as their apoptotic counterparts do. Moreover, their nuclei remain intact and can aggregate and accumulate in necrotic tissues."	
<http://purl.obolibrary.org/obo/CHEBI_35443>	"Substance intended to kill parasitic worms (helminths)."	
<http://purl.obolibrary.org/obo/PHIPO_0000758>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to cefpodoxime proxetil. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/IAO_0000102>	"data about an ontology part is a data item about a part of an ontology, for example a term"@en	
<http://purl.obolibrary.org/obo/GO_0034654>	"The chemical reactions and pathways resulting in the formation of nucleobases, nucleosides, nucleotides and nucleic acids."	
<http://purl.obolibrary.org/obo/PHIPO_0000932>	"A phenotype in which a specific cellular process is normal (i.e. indistinguishable from wild type)."	"FYPO:0000627"
<http://purl.obolibrary.org/obo/PHIPO_0001410>	"A growth phenotype which describes the absence of change of individuals or populations after exposure to iprovalicarb (i.e. indistinguishable from wild type)."	
<http://purl.obolibrary.org/obo/PHIPO_0000345>		
<http://purl.obolibrary.org/obo/CHEBI_36835>	"A 3-hydroxy steroid in which the 3-hydroxy substituent is in the alpha-position."	"PMID:11514561 MetaCyc:3-alpha-Hydroxysteroids"
<http://purl.obolibrary.org/obo/CHEBI_36624>	"Any one of eight organic heterobicyclic compounds that have a naphthalene skeleton in which two of the carbons are replaced by nitrogens. A 'closed' class."	"Wikipedia:Naphthyridine"
<http://purl.obolibrary.org/obo/CHEBI_26191>	"A compound that contains two or more hydroxy groups."	
<http://purl.obolibrary.org/obo/GO_0070925>	"The aggregation, arrangement and bonding together of a set of components to form an organelle. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."	
<http://purl.obolibrary.org/obo/CHEBI_63248>	"A substance that removes electrons from another reactant in a redox reaction."	
<http://purl.obolibrary.org/obo/PHIPO_0001042>	"A cell phenotype in which the amount of a specific substance measured in a pathogen or host cell is too low to detect."	
<http://purl.obolibrary.org/obo/CHEBI_76841>	"An EC 1.14.* (oxidoreductase acting on paired donors, with incorporation or reduction of molecular oxygen) inhibitor that interferes with the action of any such enzyme incorporating one atom of oxygen and using NADH or NADPH as one donor (EC 1.14.13.*)."	
<http://purl.obolibrary.org/obo/CHEBI_53662>	"A class of oral hypoglycemic drugs used for diabetes mellitus or prediabetes treatment. They have a structure based on the 2-carbamimidoylguanidine skeleton."	
<http://purl.obolibrary.org/obo/CHEBI_39218>		
<http://purl.obolibrary.org/obo/CHEBI_50276>	"A topoisomerase inhibitor that inhibits the bacterial enzymes of the DNA topoisomerases, Type I class (EC 5.99.1.2) that catalyze ATP-independent breakage of one of the two strands of DNA, passage of the unbroken strand through the break, and rejoining of the broken strand. These bacterial enzymes reduce the topological stress in the DNA structure by relaxing negatively, but not positively, supercoiled DNA."	
<http://purl.obolibrary.org/obo/CHEBI_35296>		
<http://purl.obolibrary.org/obo/PHIPO_0000803>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to ketoconazole. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0000303>	"A single species phenotype where the dispersal of sexual spores is abnormal (FAO:0000017)."	
<http://purl.obolibrary.org/obo/CHEBI_26273>	"An amino acid derivative resulting from reaction of proline at the amino group or the carboxy group, or from the replacement of any hydrogen of proline by a heteroatom. The definition normally excludes peptides containing proline residues."	
<http://purl.obolibrary.org/obo/PHIPO_0000950>		
<http://purl.obolibrary.org/obo/CHEBI_2634>	"Derivatives of oxoacids RnE(=O)OH in which the hydroxy group is replaced by an amino group and the oxo group is replaced by =NR. In organic chemistry an unspecified amidine is commonly a carboxamidine."	
<http://purl.obolibrary.org/obo/GO_0061919>	"A cellular process involving delivery of a portion of the cytoplasm to lysosomes or to the plant or fungal vacuole that does not involve direct transport through the endocytic or vacuolar protein sorting (Vps) pathways. This process typically leads to degradation of the cargo; however, it can also be used to deliver resident proteins, such as in the cytoplasm-to-vacuole targeting (Cvt) pathway."	
<http://purl.obolibrary.org/obo/PHIPO_0000099>	"A reproductive process phenotype in which the first meiotic nuclear division is normal (GO:0007127)."	"FYPO:0003563"
<http://purl.obolibrary.org/obo/GO_0007028>	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the cytoplasm. The cytoplasm is all of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."	
<http://purl.obolibrary.org/obo/CHEBI_48343>	"Compounds of structure RSSR'."	
<http://purl.obolibrary.org/obo/PHIPO_0000727>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to clofazimine. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0000319>	"The pathogen effector entity has a decreased ability to suppress host defense."	
<http://purl.obolibrary.org/obo/CHEBI_39214>	"Mixture of 80% avermectin B1a and 20% avermectin B1b."	"CAS:71751-41-2"
<http://purl.obolibrary.org/obo/CHEBI_59647>	"An EC 2.3.1.* (acyltransferase transferring other than amino-acyl group) inhibitor that interferes with the action of serine palmitoyltransferase (EC 2.3.1.50)."	"Wikipedia:Serine_C-palmitoyltransferase"
<http://purl.obolibrary.org/obo/PHIPO_0000616>	"A growth phenotype which describes the resistance of individuals or populations after exposure to kanamycin A. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/GO_0010506>	"Any process that modulates the frequency, rate or extent of autophagy. Autophagy is the process in which cells digest parts of their own cytoplasm."	
<http://purl.obolibrary.org/obo/GO_0072657>	"A process in which a protein is transported to, or maintained in, a specific location in a membrane."	
<http://purl.obolibrary.org/obo/PHIPO_0001345>	"A growth phenotype which describes the resistance of individuals or populations after exposure to bitertanol. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_38329>		
<http://purl.obolibrary.org/obo/CHEBI_46081>	"A member of the class of  triazoles that is propan-2-ol substituted at position 1 and 3 by 1H-1,2,4-triazol-1-yl groups and at position 2 by a 2,4-difluorophenyl group. It is an antifungal drug used for the treatment of mucosal candidiasis and for systemic infections including systemic candidiasis, coccidioidomycosis, and cryptococcosis."	"DrugBank:DB00196 PDBeChem:TPF Wikipedia:Fluconazole Patent:GB2099818 Drug_Central:1187 PMID:23793863 PMID:23171950 LINCS:LSM-2106 PMID:16822276 Beilstein:4269710 PMID:11366931 KEGG:D00322 Patent:US4404216 CAS:86386-73-4 HMDB:HMDB0014342 Reaxys:7311650"
<http://purl.obolibrary.org/obo/PHIPO_0000385>	"A growth phenotype which describes the resistance of individuals or populations after exposure to oxolinic acid. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/GO_0140272>	"Binding to a protein or protein complex from a different species, for example a pathogen molecule binding to a host protein."	
<http://purl.obolibrary.org/obo/PHIPO_0000264>	"A pathogen host interaction (cellular process??) phenotype in which nuclear transport is abnormal."	"FYPO:0005573"
<http://purl.obolibrary.org/obo/CHEBI_88184>	"Any metal which causes the onset of an allergic reaction."	
<http://purl.obolibrary.org/obo/PHIPO_0000317>	"The pathogen effector entity has an increased ability to activate host defense."	
<http://purl.obolibrary.org/obo/CHEBI_52440>		
<http://purl.obolibrary.org/obo/PHIPO_0000048>	"A single species phenotype where the sexual reproduction process in which new individuals are produced by combining the genetic material of two gametes, which may come from two organisms or from a single organism is abnormal (GO:0019953)."	
<http://purl.obolibrary.org/obo/PHIPO_0001320>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to metalaxyl. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0000774>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to vinclozolin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0000409>	"A phenotype that affects a transporter activity."	"FYPO:0002114"
<http://purl.obolibrary.org/obo/PHIPO_0001348>	"A growth phenotype which describes the resistance of individuals or populations after exposure to pyrifenox. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_28368>	"A coumarin-derived antibiotic obtained from Streptomyces niveus."	"PMID:20325309 PMID:28316592 DrugBank:DB01051 PMID:9687383 PMID:21388139 HMDB:HMDB0015185 PMID:18418407 PMID:19762445 Drug_Central:1974 PMID:22897434 PMID:17132020 Patent:WO2012103487 PMID:26844397 Reaxys:1445842 PMID:26926630 PMID:27914946 PMID:19282394 Patent:WO2012049521 PDBeChem:NOV PMID:27829510 KEGG:C05080 KNApSAcK:C00002487 LINCS:LSM-5910 PMID:28246042 CAS:303-81-1"
<http://purl.obolibrary.org/obo/PHIPO_0000388>	"A growth phenotype which describes the resistance of individuals or populations after exposure to azoxystrobin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_27242>		
<http://purl.obolibrary.org/obo/CHEBI_5435>	"A dicarboximide that is piperidine which is substituted by oxo groups at positions 2 and 6."	"CAS:1121-89-7 Reaxys:110052 KEGG:C07275 PMID:10783491 Gmelin:971891"
<http://purl.obolibrary.org/obo/CHEBI_51737>	"A carboxylic ester of general formula R(1)R(2)C=CR(3)-C(=O)OR(4) (R(4) =/= H) or R(1)C#C-C(=O)OR(2) (R(2) =/= H) in which the ester C=O function is conjugated to an unsaturated C-C bond at the alpha,beta position."	
<http://purl.obolibrary.org/obo/PHIPO_0001207>	"A single species cell morphology phenotype where the length of hyphal filaments are normal (i.e. indistinguishable from wild type)."	
<http://purl.obolibrary.org/obo/CHEBI_35107>	"Saturated acyclic nitrogen hydrides having the general formula NnHn+2."	
<http://purl.obolibrary.org/obo/CHEBI_38338>	"A member of the class of  pyrimidines that is pyrimidine substituted by at least one amino group and its derivatives."	
<http://purl.obolibrary.org/obo/CHEBI_25512>	"An endogenous compound that is used to transmit information across the synapse between a neuron and another cell."	"Wikipedia:Neurotransmitter"
<http://purl.obolibrary.org/obo/CHEBI_87071>	"Any conazole antifungal agent that has been used for the treatment of fungal infections in animals or humans."	
<http://purl.obolibrary.org/obo/PHIPO_0000039>	"A phenotype in which the interaction is the same as the wild-type, no asymptomatic colonisation or disease formation symptoms are visible."	
<http://purl.obolibrary.org/obo/PHIPO_0000781>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to trimethoprim. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0001264>	"A pathogen host interaction phenotype, in which a pathogen effects a change in the physiological processes of its host organism."	
<http://purl.obolibrary.org/obo/GO_0019538>	"The chemical reactions and pathways involving a protein. Includes protein modification."	"Wikipedia:Protein_metabolism Reactome:R-HSA-392499"
<http://purl.obolibrary.org/obo/CHEBI_24650>	"A compound, RkE(=O)lNHOH, derived from an oxoacid RkE(=O)l(OH) (l =/= 0) by replacing -OH with -NHOH, and derivatives thereof. Specific examples of hydroxamic acids are preferably named as N-hydroxy amides."	
<http://purl.obolibrary.org/obo/PHIPO_0000644>	"A growth phenotype which describes the resistance of individuals or populations after exposure to streptomycin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0000696>	"A growth phenotype which describes the resistance of individuals or populations after exposure to copper sulphate. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0001058>	"A single species phenotype where the shape of a colony of unicellular individuals is as rugose (wrinkled; corrugated) as normal (indistinguishable from wild type)."	
<http://purl.obolibrary.org/obo/CHEBI_46633>	"The class of beta-lactam antibiotics that whose members have a carbapenem skeleton which is variously substituted at positions 3, 4, and 6."	"PMID:19617229 PMID:18076336 PMID:19929840 PMID:19199922 PMID:19610642 Wikipedia:Carbapenem PMID:21859938"
<http://purl.obolibrary.org/obo/PHIPO_0000465>	"A phenotype where the process of a necrotrophic pathogen effector activating the host immune system to trigger programmed cell death is absent."	
<http://purl.obolibrary.org/obo/GO_0005886>	"The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."	"NIF_Subcellular:sao1663586795 Wikipedia:Cell_membrane"
<http://purl.obolibrary.org/obo/CHEBI_30751>	"The simplest carboxylic acid, containing a single carbon. Occurs naturally in various sources including the venom of bee and ant stings, and is a useful organic synthetic reagent. Principally used as a preservative and antibacterial agent in livestock feed. Induces severe metabolic acidosis and ocular injury in human subjects."	"PMID:22606986 BPDB:1749 PMID:7361809 PMID:22447125 KNApSAcK:C00001182 PMID:18034701 Wikipedia:Formic_acid Patent:CN101481304 KEGG:C00058 Gmelin:1008 PMID:16185830 CAS:64-18-6 PMID:14637377 DrugBank:DB01942 PMID:16222862 PMID:22080171 MetaCyc:FORMATE PMID:22499553 PMID:3946945 PMID:16465784 PMID:16120414 PMID:22540994 PMID:18397576 PMID:16445901 PMID:22483350 PDBeChem:FMT PMID:22280475 PMID:22304812 PMID:22385261 PMID:15811469 PMID:16230297 PMID:12591956 HMDB:HMDB0000142 PMID:22622393 Reaxys:1209246 LIPID_MAPS_instance:LMFA01010040"
<http://purl.obolibrary.org/obo/CHEBI_35479>		
<http://purl.obolibrary.org/obo/GO_0140513>	"A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together in the nucleus."	
<http://purl.obolibrary.org/obo/PHIPO_0000463>	"A single organism phenotype that affects the subcellular components in a cell."	
<http://purl.obolibrary.org/obo/CHEBI_4511>	"A penicillin that is 6-aminopenicillanic acid in which one of the amino hydrogens is replaced by a 3-(2,6-dichlorophenyl)-5-methyl-1,2-oxazol-4-yl]formyl group."	"PMID:29105855 PMID:28721014 PMID:26962156 Drug_Central:866 CAS:3116-76-5 Reaxys:1233662 PMID:29253094 PMID:29504695 Patent:US3239507 Wikipedia:Dicloxacillin DrugBank:DB00485 KEGG:D02348 KEGG:C06950 Patent:GB978299 PMID:29017833 LINCS:LSM-5234"
<http://purl.obolibrary.org/obo/CHEBI_77047>	"An organic cation that is the conjugate acid of tylosin, obtained by protonation of the tertiary amino group; major species at pH 7.3."	
<http://purl.obolibrary.org/obo/PHIPO_0001354>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to prothioconazole. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0000347>	"A pathogen host interaction phenotype that affects a molecular function such as binding or catalytic activity."	
<http://purl.obolibrary.org/obo/GO_0006793>	"The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus."	
