?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/PHIPO_0001168>	<http://www.w3.org/2000/01/rdf-schema#label>	"presence of pathogen inhibition of host immune response protease"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000432>	<http://www.w3.org/2000/01/rdf-schema#label>	"catalytic activity phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000663>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to difenoconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000512>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen host interaction host tissue phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000743>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to tridemorph"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000581>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to flucytosine"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000847>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to posaconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000693>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to carbapenems"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000201>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal pathogen host protein complex binding"	
<http://purl.obolibrary.org/obo/PHIPO_0001154>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased pathogen chitin fragment binding"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000959>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal cellular melanin accumulation"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001228>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen reactive oxygen species production within host present"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000350>	<http://www.w3.org/2000/01/rdf-schema#label>	"absence of pathogen growth on host surface"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000349>	<http://www.w3.org/2000/01/rdf-schema#label>	"presence of pathogen growth on host surface"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001184>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete loss of functional host resistance gene"	
<http://purl.obolibrary.org/obo/PHIPO_0000728>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to emamectin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000566>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to tridemorph"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000797>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to caspofungin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000624>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to azithromycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000863>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to camptothecin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000335>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal pathogen cell to cell migration within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001035>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased level of substance in cell"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000193>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete increased pathogen host interaction DNA binding"	
<http://purl.obolibrary.org/obo/PHIPO_0000058>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal timing in production of sexual spores"	
<http://purl.obolibrary.org/obo/PHIPO_0000231>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen host interaction toxin biosynthetic process phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000107>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased number of penetration structure"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000610>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to linezolid"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001258>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased expression of a host defense-related protein involved in a pathogen interaction"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000671>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to spectinomycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001027>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased protein level"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000937>	<http://www.w3.org/2000/01/rdf-schema#label>	"asexual spore lysis present"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001244>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased number of pathogen asexual sporulation structures within host lesion"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001013>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal pathogen host interaction polysaccharide localization"	
<http://purl.obolibrary.org/obo/PHIPO_0000088>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal budding"	
<http://purl.obolibrary.org/obo/PHIPO_0000074>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal timing of sexual spore production"	
<http://purl.obolibrary.org/obo/PHIPO_0000440>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal pathogen reproductive phenotype within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001162>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete host reproductive phenotype induced by pathogen"	
<http://purl.obolibrary.org/obo/PHIPO_0000475>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased size of lipid droplet"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000692>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to penicillin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000244>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal protein localization to nucleus"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001183>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete host resistance to pathogen phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000348>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen host interaction catalytic activity phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000461>	<http://www.w3.org/2000/01/rdf-schema#label>	"presence of pathogen-associated host defense induced lesions"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000579>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to rotenone"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000406>	<http://www.w3.org/2000/01/rdf-schema#label>	"nucleus absent"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000684>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to minocycline"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000623>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to bifonazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000988>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete altered protein level in a pathogen host interaction"	
<http://purl.obolibrary.org/obo/PHIPO_0000981>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal meiosis"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000868>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to chlortetracycline"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001175>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal pathogen protein localization within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000002>	<http://www.w3.org/2000/01/rdf-schema#label>	"single species phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000378>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to carboxin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000230>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal pathogen host interaction toxin biosynthetic process"	
<http://purl.obolibrary.org/obo/PHIPO_0000106>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased number of penetration structure"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001257>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased level of host defense-induced protein"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000615>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to D-cycloserine"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000719>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to fusidic acid"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000670>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to levofloxacin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000757>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to fenhexamid"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001026>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased protein level"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000229>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal pathogen host interaction biosynthesis of deoxynivalenol"	
<http://purl.obolibrary.org/obo/PHIPO_0000087>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal binary fission"	
<http://purl.obolibrary.org/obo/PHIPO_0000309>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal effector of pathogenicity suppression of host defense"	
<http://purl.obolibrary.org/obo/PHIPO_0000260>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal pathogen host interaction protein transport"	
<http://purl.obolibrary.org/obo/PHIPO_0001161>	<http://www.w3.org/2000/01/rdf-schema#label>	"host defense-induced phenolic compound absent"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000136>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased protein-protein interaction"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000526>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to carbenicillin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000364>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal pathogen growth within host"	
<http://purl.obolibrary.org/obo/PHIPO_0000122>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal endospore formation"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000518>	<http://www.w3.org/2000/01/rdf-schema#label>	"lipid droplets present in normal numbers"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000631>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to cefepime"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000749>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to bleomycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000587>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to vinclozolin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000735>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to cefotaxime"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000966>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen penetration structure present"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001042>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete substance absent in a pathogen host interaction"	
<http://purl.obolibrary.org/obo/PHIPO_0001191>	<http://www.w3.org/2000/01/rdf-schema#label>	"presence of melanin accumulation in pathogen asexual spore within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000356>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal penetration of host by pathogen"	
<http://purl.obolibrary.org/obo/PHIPO_0000114>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased pathogen penetration across the barrier"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000573>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to gentamycin C1"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000400>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal cellular component organization"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000377>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to carboxin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001201>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen effector phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000031>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal pathogen growth after penetration of the barrier"	
<http://purl.obolibrary.org/obo/PHIPO_0000539>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to ciprofloxacin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000644>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to streptomycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000875>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to verapamil"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000308>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal effector of pathogenicity activation of host defense"	
<http://purl.obolibrary.org/obo/PHIPO_0001069>	<http://www.w3.org/2000/01/rdf-schema#label>	"death of host organism with pathogen"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000979>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to dithiothreitol"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000135>	<http://www.w3.org/2000/01/rdf-schema#label>	"abolished protein-protein interaction"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001055>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete increased size of colony"	
<http://purl.obolibrary.org/obo/PHIPO_0001104>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased level of host defense-induced RNA"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000517>	<http://www.w3.org/2000/01/rdf-schema#label>	"lipid droplets present in increased numbers"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000413>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal molecular function"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000251>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal RNA localization"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000369>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal formation of pathogen penetration structure when near host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000127>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal asexual spore morphology"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000630>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to oligomycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000748>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to daptomycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000586>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to anidulafungin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000698>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to trichostatin A"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001190>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete incompatible interaction"	
<http://purl.obolibrary.org/obo/PHIPO_0001085>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased unicellular population growth rate"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000778>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to eflornithine"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000995>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased level of pathogen RNA within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000355>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen penetration into host absent"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000113>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete altered functionality of penetration structure"	
<http://purl.obolibrary.org/obo/PHIPO_0000393>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to oxolinic acid"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000151>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal multiple protein binding to DNA"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000467>	<http://www.w3.org/2000/01/rdf-schema#label>	"presence of effector-independent host hypersensitive response"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001189>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete compatible interaction"	
<http://purl.obolibrary.org/obo/PHIPO_0000385>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to oxolinic acid"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000764>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to kanamycin A"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000629>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to colistin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000992>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased expression of a host defense-related protein involved in a pathogen interaction"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000371>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased number of pathogen penetration structure when near host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000008>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete functional pathogen effector present"	
<http://purl.obolibrary.org/obo/PHIPO_0000236>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen host interaction localization phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0001071>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete viable host organism with pathogen"	
<http://purl.obolibrary.org/obo/PHIPO_0000316>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete decreased effector of virulence activation of host defense"	
<http://purl.obolibrary.org/obo/PHIPO_0000143>	<http://www.w3.org/2000/01/rdf-schema#label>	"DNA binding phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000533>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to gramicidin D"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000761>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to valinomycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001098>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to stress"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000164>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen host interaction binding phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000530>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to triadimefon"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000777>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to oxytetracycline"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000901>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to azithromycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000249>	<http://www.w3.org/2000/01/rdf-schema#label>	"RNA localization phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001084>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased unicellular population growth rate"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000826>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to ticarcillin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000329>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to cyproconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000280>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen effector mediated modulation of host immune system process"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000398>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to benomyl"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000156>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased RNA binding"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000546>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to cefotetan"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000384>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to thiophanate methyl"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000411>	<http://www.w3.org/2000/01/rdf-schema#label>	"molecular function phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000812>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to norfloxacin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000007>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete functional pathogen effector absent"	
<http://purl.obolibrary.org/obo/PHIPO_0000889>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to clindamycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001207>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal filament length"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001076>	<http://www.w3.org/2000/01/rdf-schema#label>	"growth auxotrophic for lysine"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000315>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal effector of virulence activation of host defense"	
<http://purl.obolibrary.org/obo/PHIPO_0000142>	<http://www.w3.org/2000/01/rdf-schema#label>	"RNA binding phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000279>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete systemic phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000427>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen chitin binding to host chitinase present"	
<http://purl.obolibrary.org/obo/PHIPO_0000658>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to amoxicillin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000180>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal pathogen host interaction DNA binding"	
<http://purl.obolibrary.org/obo/PHIPO_0000496>	<http://www.w3.org/2000/01/rdf-schema#label>	"toxin biosynthetic process phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000804>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to strobilurin A"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000265>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal protein transport"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000023>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal penetration assay phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0001111>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen-induced increase in host pH"	
<http://purl.obolibrary.org/obo/PHIPO_0000952>	<http://www.w3.org/2000/01/rdf-schema#label>	"abolished pathogen growth within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000172>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abolished pathogen host interaction RNA binding"	
<http://purl.obolibrary.org/obo/PHIPO_0001092>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased chitin level in asexual spore"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000641>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to cefaclor"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000721>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to ethionamide"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000608>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to rifabutin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000839>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to actinomycin D"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000825>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to tebuconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001132>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased size of pathogen vacuoles during host colonization"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000410>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased asexual spore germination frequency"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000817>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to isoniazid"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000855>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to doxycycline"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001206>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal filament morphology"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000209>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete increased stature"	
<http://purl.obolibrary.org/obo/PHIPO_0000930>	<http://www.w3.org/2000/01/rdf-schema#label>	"cellular process phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000036>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal lipid droplet morphology"	
<http://purl.obolibrary.org/obo/PHIPO_0001124>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased growth on erucic acid carbon source"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001236>	<http://www.w3.org/2000/01/rdf-schema#label>	"effector-mediated suppression of host effector triggered immunity absent"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000706>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to tiamulin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000185>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal pathogen host interaction multiple protein binding to DNA"	
<http://purl.obolibrary.org/obo/PHIPO_0000544>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to cycloheximide"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001222>	<http://www.w3.org/2000/01/rdf-schema#label>	"cell viability phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001110>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen-induced decrease in host pH"	
<http://purl.obolibrary.org/obo/PHIPO_0001109>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal pathogen-induced host pH"	
<http://purl.obolibrary.org/obo/PHIPO_0000880>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to sulfisoxazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000841>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to cefuroxime"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001005>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal host morphology during pathogen invasion"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000313>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal effector of virulence activation of host defense"	
<http://purl.obolibrary.org/obo/PHIPO_0000028>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal formation of pathogen penetration structure"	
<http://purl.obolibrary.org/obo/PHIPO_0000066>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal timing of asexual spore production"	
<http://purl.obolibrary.org/obo/PHIPO_0000171>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal pathogen host interaction RNA binding"	
<http://purl.obolibrary.org/obo/PHIPO_0000294>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal organism morphology phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0001140>	<http://www.w3.org/2000/01/rdf-schema#label>	"host PAMP-triggered immunity signaling activated by pathogen present"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000679>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to tebuconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000896>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to spiroxamine"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000602>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to ethionamide"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000833>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to imipenem"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000286>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal cellular pigment accumulation"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000052>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased number of asexual spores"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001214>	<http://www.w3.org/2000/01/rdf-schema#label>	"hyphal growth phenotype"@en	
